id,Nº Processo,Órgão,Data de Abertura,Objeto,Razão Social,Total Adjudicado,Valor_transformado,month,year,year_month,Siglas,ClasseObj,CagGasto
2488,25.204.000156.2021,SES/COMPLEXO DE SAÚDE JULIANO MOREIRA,10/9/2021,AQUISIÇÃO DE LEITE  PASTEURIZADO.,05.672.519/0001-30 - PADARIA PONTES LTDA-ME,"34.777,00",34777,Sep,2021,2021-09,SES,Suplementos e Leite Fórmula,Abaixo de 50 mil
2489,25.213.000750.2021,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,10/9/2021,AQUISIÇÃO DE MATERIAL MÉDICO E HOSPITALAR,07.936.090/0001-76 - BIOMED DIST. HOSP. E LABORATORIAL NOSSA SENHORA DA CONCEICAO LTDA,"1.926.884,60",1926884.6,Sep,2021,2021-09,SES,Material e Equipamentos Hospitalares,Acima de 150mil
2490,25.220.000309.2021,SES/HOSPITAL DISTRITAL DE POMBAL,10/9/2021,SERVIÇOS EXAMES DE IMAGEM COMPUTADORIZADA (TOMOGRAFIAS) PARA O HRPSRC,07.198.918/0001-36 - CENTRO DE DIAGNOSTICO POR IMAGEM SANTA CECILIA LTDA,"45.550,00",45550,Sep,2021,2021-09,SES,Exame Hospitalar,Abaixo de 50 mil
2491,25.220.000310.2021,SES/HOSPITAL DISTRITAL DE POMBAL,10/9/2021,"AQUISIÇÃO DE TECIDOS, LENÇÓIS E CONJUNTOS PARA O HRPSRC",07.358.710/0001-37 - VESTIR INDÚSTRIA E COMERCIO DE CONFECÇOES LTDA,"19.900,00",19900,Sep,2021,2021-09,SES,Materiais de Expediente,Abaixo de 50 mil
2492,25.000.000446.2021,SECRETARIA DE ESTADO DA SAÚDE,13/09/2021,MED(METFORMINA CLORIDRATO ASSOCIADA À VILDAGLIPTINA 1G+50MG E DAPAGLIFLOZINA + METFORMINA 5/1000MG) ,22.635.177/0001-05 - MEDICOM EIRELI,"1.556,00",1556,Sep,2021,2021-09,SES,Compra de Medicamentos,Abaixo de 50 mil
2493,25.000.001060.2021,SECRETARIA DE ESTADO DA SAÚDE,13/09/2021,AQUISIÇÃO EMERGENCIAL DE FÓRMULA INFANTIL,29.329.985/0001-85 - MEDERI DISTRIBUICAO E IMPORTACAO DE PRODUTOS PARA SAUDE LTDA,"16.380,00",16380,Sep,2021,2021-09,SES,Suplementos e Leite Fórmula,Abaixo de 50 mil
2494,25.000.001114.2021,SECRETARIA DE ESTADO DA SAÚDE,13/09/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (PEMBROLIZUMABE 100MG/4ML SOL INJ),81.887.838/0007-36 - PROFARMA SPECIALTY S/A,"235.667,88",235667.88,Sep,2021,2021-09,SES,Compra de Medicamentos,Acima de 150mil
2495,25.238.000163.2021,SES/HOSPITAL GERAL DE MAMANGUAPE,13/09/2021,DIETAS ENTERAIS - SETEMBRO,01.687.725/0002-43 - CENTRO ESPECIALIZADO EM NUTRICAO ENTERAL E PARENTERAL - CENEP LTDA,"37.352,50",37352.5,Sep,2021,2021-09,SES,Suplementos e Leite Fórmula,Abaixo de 50 mil
2496,30.000.006274.2021,ENCARGOS GERAIS DO ESTADO,13/09/2021,LOCAÇÃO DE IMÓVEL EEEFM CARLOTA BARREIRA EM AREIA,181.868.236-20 - JOSÉ NICODEMOS RODRIGUES DE SOUSA,"10.000,00",10000,Sep,2021,2021-09,EGE,Locação de Imóvel,Abaixo de 50 mil
2497,25.240.000185.2021,SES/HOSPITAL DE CLINICAS DE CAMPINA GRANDE,14/09/2021,AQUISIÇÃO DE MEDICAMENTOS DESTINADO AO COMBATE AO COVID-19.,"15.218.561/0001-39 - NNMED - DISTRIBUICAO, IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA","3.980.675,89",3980675.89,Sep,2021,2021-09,SES,Compra de Medicamentos,Acima de 150mil
2498,25.000.000951.2021,SECRETARIA DE ESTADO DA SAÚDE,15/09/2021,"AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (OCTREOTIDA ACETATO, 0,05MG) ",04.307.650/0025-02 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,"10.735,20",10735.2,Sep,2021,2021-09,SES,Compra de Medicamentos,Abaixo de 50 mil
2499,25.000.1608513.2021,SECRETARIA DE ESTADO DA SAÚDE,15/09/2021,AQUISIÇÃO EMERGENCIAL DE MATERIAL HOSPITALAR (TUBOS PARA COLETA) ,71.957.310/0001-47 - GREINER BIO-OME BRASIL PROD.MED.HOSPITALARES LTDA,"134.500,00",134500,Sep,2021,2021-09,SES,Material e Equipamentos Hospitalares,Entre 100mil e 150mil
2500,25.205.012043.2021,SES/COMPLEXO DE SAÚDE CLEMENTINO FRAGA,15/09/2021,AQUISIÇÃO DE GASES MEDICINAIS COM COMODATO DE TANQUES E CILINDROS.,24.380.578/0018-27 - WHITE MARTINS GASES IND. DO NORDESTE LTDA,"941.300,00",941300,Sep,2021,2021-09,SES,Material e Equipamentos Hospitalares,Acima de 150mil
2501,25.215.000118.2021,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,15/09/2021,SERVIÇO DE OUTSOURCING DE IMPRESSÃO,02.914.690/0001-10 - COPY LINE COMERCIO E SERVICOS LTDA,"103.270,80",103270.8,Sep,2021,2021-09,SES,Serviços Gráficos e de Impressão,Entre 100mil e 150mil
2502,25.000.000654.2021,SECRETARIA DE ESTADO DA SAÚDE,16/09/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS DIVERSOS,"15.218.561/0001-39 - NNMED - DISTRIBUICAO, IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA","323.520,80",323520.8,Sep,2021,2021-09,SES,Compra de Medicamentos,Acima de 150mil
2503,25.234.000035.2021,LACEN - LABORATORIO CENTRAL DE SAÚDE PÚBLICA,16/09/2021,AQUISIÇÃO DE INSUMOS LABORATORIAIS,31.059.333/0001-10 - CONTROLE MEDLAB COMERCIO DE MEDICAMENTOS EIRELI,"117.085,10",117085.1,Sep,2021,2021-09,SES,Materiais de Expediente,Entre 100mil e 150mil
2504,25.000.000975.2021,SECRETARIA DE ESTADO DA SAÚDE,17/09/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,08.958.628/0002-97 - ONCOEXO DISTRIBUIDORA DE MEDICAMENTOS,"945,00",945,Sep,2021,2021-09,SES,Compra de Medicamentos,Abaixo de 50 mil
2505,25.215.000148.2021,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,17/09/2021,AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR - FIOS CIRÚRGICOS,01.722.296/0001-17 - PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTICOS LTDA,"19.174,19",19174.19,Sep,2021,2021-09,SES,Material e Equipamentos Hospitalares,Abaixo de 50 mil
2506,25.215.000145.2021,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,19/09/2021,AQUISIÇÃO DE OPME EXTRA SUS PARA ORTOPEDIA,39.825.198/0001-88 - ORTHOVIDA MATERIAIS CIRURGICOS E HOSPITALARES LTDA,"1.446.240,00",1446240,Sep,2021,2021-09,SES,Material e Equipamentos Hospitalares,Acima de 150mil
2507,25.000.001127.2021,SECRETARIA DE ESTADO DA SAÚDE,20/09/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS (DUPILUMABE 200MG E DUPILUMABE 300MG),09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"88.445,28",88445.28,Sep,2021,2021-09,SES,Compra de Medicamentos,Entre 50mil e 100mil
2508,25.000.001144.2021,SECRETARIA DE ESTADO DA SAÚDE,20/09/2021,AQUISIÇÃO EMERGENCIAL DE SUPLEMENTO NUTRICIONAL (NEOCATE LCP) ,01.687.725/0002-43 - CENTRO ESPECIALIZADO EM NUTRICAO ENTERAL E PARENTERAL - CENEP LTDA,"17.100,00",17100,Sep,2021,2021-09,SES,Suplementos e Leite Fórmula,Abaixo de 50 mil
2509,25.215.000151.2021,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,20/09/2021,AQUISIÇÃO DE EQUIPOS PARA BOMBA DE INFUSÃO,06.948.769/0001-12 - TECNOCENTER MAT.MEDICOS HOSPITALARES LTDA,"306.000,00",306000,Sep,2021,2021-09,SES,Material e Equipamentos Hospitalares,Acima de 150mil
2510,25.215.000152.2021,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,20/09/2021,CARNES E ASSEMELHADOS,26.290.355/0001-56 - LUCIELMA MARIA OLIVEIRA DA SILVA - EPP,"2.478.190,74",2478190.74,Sep,2021,2021-09,SES,Alimentação Hospitalar,Acima de 150mil
2511,25.237.000248.2021,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),20/09/2021,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM EM SERVIÇO DE VÍDEO MONITORAMENTO,24.987.472/0001-48 - FORTCON SERVIÇOS DE SEGURANÇA ELETRÔNICA LTDA,"16.196,66",16196.66,Sep,2021,2021-09,SES,Contratação de serviços em geral,Abaixo de 50 mil
2512,25.000.000655.2021,SECRETARIA DE ESTADO DA SAÚDE,21/09/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS,44.734.671/0001-51 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACEUTICOS LTDA,"42.239,70",42239.7,Sep,2021,2021-09,SES,Compra de Medicamentos,Abaixo de 50 mil
2513,25.000.000742.2021,SECRETARIA DE ESTADO DA SAÚDE,21/09/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (RIVAROXABANA 20 MG) ,04.307.650/0012-98 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,"740,88",740.88,Sep,2021,2021-09,SES,Compra de Medicamentos,Abaixo de 50 mil
2514,25.000.001089.2021,SECRETARIA DE ESTADO DA SAÚDE,21/09/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (MONOSSIALOGANGLIOSIDEO SÓDICO GM-1100MG/5ML OU 20MG/1ML) ,09.137.934/0002-25 - NORDICA DISTRIBUIDORA HOSPITALAR LTDA,"16.587,90",16587.9,Sep,2021,2021-09,SES,Compra de Medicamentos,Abaixo de 50 mil
2515,25.205.012048.2021,SES/COMPLEXO DE SAÚDE CLEMENTINO FRAGA,21/09/2021,AQUISIÇÃO DE CARNES E ASSEMELHADOS,17.020.542/0001-29 - DISTRIBUIDORA BRAZMAC LTDA,"392.586,20",392586.2,Sep,2021,2021-09,SES,Alimentação Hospitalar,Acima de 150mil
2516,25.000.001143.2021,SECRETARIA DE ESTADO DA SAÚDE,22/09/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (CRIZOTINIBE 250MG) ,43.208.384/0001-45 - PARAGON FARMACÊUTICA LTDA,"102.999,60",102999.6,Sep,2021,2021-09,SES,Compra de Medicamentos,Entre 100mil e 150mil
2517,25.205.012054.2021,SES/COMPLEXO DE SAÚDE CLEMENTINO FRAGA,22/09/2021,AQUISIÇÃO DE MATERIAL DE HIGIENE E LIMPEZA,35.044.590/0001-39 - JR COMERCIO DE UTILIDADES EIRELI,"428.205,95",428205.95,Sep,2021,2021-09,SES,Outros,Acima de 150mil
2518,25.215.000147.2021,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,22/09/2021,AQUISIÇÃO DE MATERIAL PERFUROCORTANTE,"15.218.561/0001-39 - NNMED - DISTRIBUICAO, IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA","559.377,50",559377.5,Sep,2021,2021-09,SES,Materiais de Expediente,Acima de 150mil
2519,24.000.002105.2021,SECRETARIA DE ESTADO DA ADMINISTRAÇÃO PENITENCIÁRIA,23/09/2021,SERVIÇO DE FORNECIMENTO DE ÁGUA POR CARRO-PIPA.,08.963.146/0001-44 - VERALUCIA ROCHA LIRA ELIAS,"782.174,00",782174,Sep,2021,2021-09,SEAP,Outros,Acima de 150mil
2520,25.000.001188.2021,SECRETARIA DE ESTADO DA SAÚDE,23/09/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS,44.734.671/0001-51 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACEUTICOS LTDA,"6.082,10",6082.1,Sep,2021,2021-09,SES,Compra de Medicamentos,Abaixo de 50 mil
2521,25.000.2105567.2021,SECRETARIA DE ESTADO DA SAÚDE,23/09/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (MONTELUCASTE SÓDICO 10MG),09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"81,00",81,Sep,2021,2021-09,SES,Compra de Medicamentos,Abaixo de 50 mil
2522,25.240.000192.2021,SES/HOSPITAL DE CLINICAS DE CAMPINA GRANDE,23/09/2021,AQUISIÇÃO DE MATERIAL MÉDICO-HOSPITALAR - EPI S.,12.040.718/0001-90 - GRADUAL COMERCIO E SERVICOS EIRELI - ME,"259.818,50",259818.5,Sep,2021,2021-09,SES,Material e Equipamentos Hospitalares,Acima de 150mil
2523,15.000.000515.2021,POLÍCIA MILITAR DO ESTADO DA PARAÍBA,24/09/2021,REFORMA E CORREÇÃO NAS INSTALAÇÕES HIDROSSANITÁRIAS E REVISÃO DO TELHADO DO MUSEU DA PMPB,31.332.593/0001-17 - IDSET SERVIÇOS E CONSTRUÇÕES EIRELI,"60.280,50",60280.5,Sep,2021,2021-09,PMPB,Obras e serviços de engenharia,Entre 50mil e 100mil
2524,25.220.000334.2021,SES/HOSPITAL DISTRITAL DE POMBAL,24/09/2021,AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR DIVERSOS PARA O HRPSRC,10.719.048/0001-08 - RITA DE ANDRADE VIEIRA,"343.563,20",343563.2,Sep,2021,2021-09,SES,Material e Equipamentos Hospitalares,Acima de 150mil
2525,25.240.000195.2021,SES/HOSPITAL DE CLINICAS DE CAMPINA GRANDE,24/09/2021,SERVIÇO DE ANÁLISES CLINICAS DESTINADO AO COMBATE AO COVID-19.,04.938.960/0001-58 - RM LABORATORIO CLINICO LTDA ME,"2.289.986,40",2289986.4,Sep,2021,2021-09,SES,Exame Hospitalar,Acima de 150mil
2526,25.240.000196.2021,SES/HOSPITAL DE CLINICAS DE CAMPINA GRANDE,24/09/2021,LOCAÇÃO DE INSTRUMENTAL PARA CENTRO CIRÚRGICO.,18.836.913/0001-08 - CIRURTECH COMÉRCIO E MANUTENÇÃO DE MATERIAIS CIRÚRGICOS LTDA - ME,"166.550,84",166550.84,Sep,2021,2021-09,SES,Contratação de serviços em geral,Acima de 150mil
2527,25.240.000197.2021,SES/HOSPITAL DE CLINICAS DE CAMPINA GRANDE,24/09/2021,SERVIÇO DE ESTERILIZAÇÃO DESTINADO AO COMBATE AO COVID-19.,10.287.853/0001-00 - EMBRAESTER - EMPRESA BRASILEIRA DE ESTERILIZACOES LTDA EPP,"472.795,20",472795.2,Sep,2021,2021-09,SES,Contratação de serviços em geral,Acima de 150mil
2528,25.000.000656.2021,SECRETARIA DE ESTADO DA SAÚDE,27/09/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (ÁCIDO URSODESOXICÓLICO 300MG) ,04.307.650/0012-98 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,"82.128,00",82128,Sep,2021,2021-09,SES,Compra de Medicamentos,Entre 50mil e 100mil
2529,25.000.000703.2021,SECRETARIA DE ESTADO DA SAÚDE,27/09/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,08.958.628/0002-97 - ONCOEXO DISTRIBUIDORA DE MEDICAMENTOS,"693,00",693,Sep,2021,2021-09,SES,Compra de Medicamentos,Abaixo de 50 mil
2530,25.000.000974.2021,SECRETARIA DE ESTADO DA SAÚDE,27/09/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (OMALIZUMABE 150MG) PARA ATENDER DEMANDAS JUDICAIS ,56.994.502/0026-98 - NOVARTIS BIOCIÊNCIAS S.A.,"44.044,80",44044.8,Sep,2021,2021-09,SES,Compra de Medicamentos,Abaixo de 50 mil
2531,25.000.001190.2021,SECRETARIA DE ESTADO DA SAÚDE,27/09/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,81.887.838/0011-12 - PROFARMA SPECIALTY S.A,"14.758,00",14758,Sep,2021,2021-09,SES,Compra de Medicamentos,Abaixo de 50 mil
2532,25.000.001231.2021,SECRETARIA DE ESTADO DA SAÚDE,27/09/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (MESALAZINA 1000MG),81.887.838/0011-12 - PROFARMA SPECIALTY S.A,"13.115,20",13115.2,Sep,2021,2021-09,SES,Compra de Medicamentos,Abaixo de 50 mil
2533,25.000.001238.2021,SECRETARIA DE ESTADO DA SAÚDE,27/09/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (ATORVASTATINA 20MG) ,30.553.793/0001-37 - JASMED DISTRIBUIDORA DE MEDICAMENTOS LTDA,"98.723,70",98723.7,Sep,2021,2021-09,SES,Compra de Medicamentos,Entre 50mil e 100mil
2534,25.203.000443.2021,SES/COMPLEXO DE SAÚDE DE CRUZ DAS ARMAS,27/09/2021,EMERGENCIAL DE NUTRIÇÃO PARENTERAL PARA PEDIATRIA,03.149.182/0001-55 - CLINUTRI LTDA.,"70.000,00",70000,Sep,2021,2021-09,SES,Suplementos e Leite Fórmula,Entre 50mil e 100mil
2535,25.237.000255.2021,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),27/09/2021,CONTRATAÇÃO DE SERVIÇO DE APARELHO DE ULTRASSONOGRAFIA,10.485.989/0001-25 - VESCIA MARIA FERNANDES DUARTE EIRELI,"27.700,00",27700,Sep,2021,2021-09,SES,Contratação de serviços em geral,Abaixo de 50 mil
2536,25.242.000001.2021,SES/UNIDADE DE PRONTO ATENDIMENTO GUARABIRA - UPA,27/09/2021,AQUISIÇÃO DE MATERIAL DE EXPEDIENTE,16.528.359/0001-76 - ANTONIO FIRMINO DOS SANTOS - ME,"14.469,18",14469.18,Sep,2021,2021-09,SES,Materiais de Expediente,Abaixo de 50 mil
2537,31.202.4662021.2021,SEIE/SUPERINTENDÊNCIA DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO,27/09/2021,"CONTRATAÇÃO DE EMPRESA PARA PROJETAR A CONTENÇÃO DA FUGA DE MATERIAIS DO CAIS PORTO, EM CABEDELO/PB",09.139.767/0001-70 - ESCALA ESCRITORIO DE CALCULOS ESTRUTURAIS LTDA,"391.150,00",391150,Sep,2021,2021-09,SEIE,Obras e serviços de engenharia,Acima de 150mil
2538,25.000.001061.2021,SECRETARIA DE ESTADO DA SAÚDE,28/09/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS DIVERSOS PARA ATENDER DEMANDAS JUDICIAIS,30.553.793/0001-37 - JASMED DISTRIBUIDORA DE MEDICAMENTOS LTDA,"7.036,40",7036.4,Sep,2021,2021-09,SES,Compra de Medicamentos,Abaixo de 50 mil
2539,25.237.000252.2021,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),28/09/2021,SOLICITAÇÃO DE SERVIÇO PARA REALIZAÇÃO DE TESTES PARA GASOMETRIA,11.426.166/0001-90 - DIAGFARMA COMÉRCIO E SERVIÇOS DE PRODUTOS HOSPITALARES E LABORATORIAIS LTDA,"38.400,00",38400,Sep,2021,2021-09,SES,Exame Hospitalar,Abaixo de 50 mil
2540,25.242.000002.2021,SES/UNIDADE DE PRONTO ATENDIMENTO GUARABIRA - UPA,28/09/2021,CONTRATAÇÃO DE EMP. ESP. EM MANUTENÇÃO DE AUTOCLAVE,26.649.698/0001-64 - ERICA KELLY CARVALHO DE LIMA,"1.200,00",1200,Sep,2021,2021-09,SES,Conserto e Manutenção de equipamentos,Abaixo de 50 mil
2541,15.000.000038.2021,POLÍCIA MILITAR DO ESTADO DA PARAÍBA,29/09/2021,ALIMENTAÇÃO PARA SEMOVENTES DA PMPB,06.049.929/0001-91 - ATACADAO DO CRIADOR - COM.IND. AGROPECUARIA E TRANSPORTES LTDA,"353.995,00",353995,Sep,2021,2021-09,PMPB,Alimentação para Animais (ração),Acima de 150mil
4989,23.102.000014.2023,CORPO DE BOMBEIROS MILITAR DO ESTADO DA PARAÍBA/ 1º COMANDO REGIONAL BOMBEIRO MILITAR,11/10/2023,SOLICITAÇÃO DE COMPRA DE ÁGUA MINERAL PARA UTILIZAÇÃO DO 1° COMANDO REGIONAL DE BOMBEIRO MILITAR DA PARAÍBA,50.432.500/0001-70 - R DOS SANTOS COMERCIAL LTDA,"2.617,30",2617.3,Oct,2023,2023-10,CBMPB,Contratação de serviços em geral,Abaixo de 50 mil
2543,25.000.001177.2021,SECRETARIA DE ESTADO DA SAÚDE,29/09/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (RALOXIFENO 60MG),26.921.908/0001-21 - HOSPFAR IND.E COM.DE PROD.HOSPITALARES LTDA,"423.535,20",423535.2,Sep,2021,2021-09,SES,Compra de Medicamentos,Acima de 150mil
2544,25.239.000361.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,29/09/2021,AQUISICAO DE MEDICAMENTOS,90.108.283/0001-82 - CONTATI COMERCIO E REPRESENTAÇÕES LTDA,"61.050,00",61050,Sep,2021,2021-09,SES,Compra de Medicamentos,Entre 50mil e 100mil
2545,25.239.000362.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,29/09/2021,AQUISICAO DE MEDICAMENTOS,01.722.296/0001-17 - PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTICOS LTDA,"9.436,90",9436.9,Sep,2021,2021-09,SES,Compra de Medicamentos,Abaixo de 50 mil
2546,25.239.000363.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,29/09/2021,AQUISICAO DE MEDICAMENTOS,11.563.145/0001-17 - COMERCIAL MOSTAERT LIMITADA,"301.020,00",301020,Sep,2021,2021-09,SES,Compra de Medicamentos,Acima de 150mil
2547,25.240.000193.2021,SES/HOSPITAL DE CLINICAS DE CAMPINA GRANDE,29/09/2021,AQUISIÇÃO DE SANEANTES DESTINADO AO COMBATE AO COVID-19. ,38.308.355/0001-15 - M&M COMERCIO VAREJISTA DE SANEANTES EIRELI,"236.145,00",236145,Sep,2021,2021-09,SES,Outros,Acima de 150mil
2548,25.240.000198.2021,SES/HOSPITAL DE CLINICAS DE CAMPINA GRANDE,29/09/2021,SERVIÇO DE MANUTENÇÃO PREVENTIVA E CORRETIVA EM REDE DE GASES DESTINADO AO COMBATE AO COVID-19. ,20.947.671/0001-71 - ANTONIO DE ARRUDA PINTO,"191.845,20",191845.2,Sep,2021,2021-09,SES,Conserto e Manutenção de equipamentos,Acima de 150mil
2549,25.000.000657.2021,SECRETARIA DE ESTADO DA SAÚDE,30/09/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (GABAPENTINA 300MG),15.145.035/0001-96 - RIOBAHIAFARMA COMERCIO E DISTRIBUICAO DE PRODUTOS MEDICOS E COSMETICOS LTDA,"82.761,00",82761,Sep,2021,2021-09,SES,Compra de Medicamentos,Entre 50mil e 100mil
2550,25.000.001219.2021,SECRETARIA DE ESTADO DA SAÚDE,30/09/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS (RIVAROXABANA DE 15MG E DE 20MG),11.563.145/0001-17 - COMERCIAL MOSTAERT LTDA,"2.955,68",2955.68,Sep,2021,2021-09,SES,Compra de Medicamentos,Abaixo de 50 mil
2551,25.000.000533.2021,SECRETARIA DE ESTADO DA SAÚDE,1/10/2021,AQUISIÇÃO EMERGENCIAL DE CURATIVOS BIOLÓGICOS E MEDICAMENTOS DIVERSOS,06.948.769/0001-12 - TECNOCENTER MAT.MEDICOS HOSPITALARES LTDA,"196.686,60",196686.6,Oct,2021,2021-10,SES,Compra de Medicamentos,Acima de 150mil
2552,25.000.001090.2021,SECRETARIA DE ESTADO DA SAÚDE,1/10/2021,AQUISIÇÃO EMERGENCIAL DE SUPLEMENTO NUTRICIONAL (PEDIASURE 400G) ,01.687.725/0002-43 - CENTRO ESPECIALIZADO EM NUTRICAO ENTERAL E PARENTERAL - CENEP LTDA,"1.554,00",1554,Oct,2021,2021-10,SES,Suplementos e Leite Fórmula,Abaixo de 50 mil
2553,25.000.001141.2021,SECRETARIA DE ESTADO DA SAÚDE,1/10/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (PALIPERIDONA 100MGML) ,51.780.468/0002-68 - JANSSEN-CILAG FARMACEUTICA LTDA,"21.595,80",21595.8,Oct,2021,2021-10,SES,Compra de Medicamentos,Abaixo de 50 mil
2554,25.000.001191.2021,SECRETARIA DE ESTADO DA SAÚDE,1/10/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (MESALAZINA 500MG),81.887.838/0011-12 - PROFARMA SPECIALTY S.A,"32.178,00",32178,Oct,2021,2021-10,SES,Compra de Medicamentos,Abaixo de 50 mil
2555,25.213.000799.2021,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,1/10/2021,AQUISIÇÃO DE GÁS LIQUEFEITO.,03.434.985/0001-51 - MANOEL ALCINDO DE ANDRADE,"59.300,00",59300,Oct,2021,2021-10,SES,Gás Liquefeito,Entre 50mil e 100mil
2556,25.234.000036.2021,LACEN - LABORATORIO CENTRAL DE SAÚDE PÚBLICA,1/10/2021,AQUISIÇÃO DE KIT DE HEMAGLUTINAÇÃO PARA DIAGNÓSTICO DA DOENÇA DE CHAGAS,01.274.126/0001-17 - D OXXI NORDESTE LTDA-ME,"873,60",873.6,Oct,2021,2021-10,SES,Material e Equipamentos Hospitalares,Abaixo de 50 mil
2557,25.240.000199.2021,SES/HOSPITAL DE CLINICAS DE CAMPINA GRANDE,1/10/2021,LOCAÇÃO DE USINA DE GASES MEDICINAIS COM FORNECIMENTO DESTINADO AO COMBATE AO COVID-19.,05.329.135/0003-80 - ALEXSANDRO SANTOS DA SILVA - EPP,"2.223.300,00",2223300,Oct,2021,2021-10,SES,Outros,Acima de 150mil
2558,25.240.000200.2021,SES/HOSPITAL DE CLINICAS DE CAMPINA GRANDE,1/10/2021,AQUISIÇÃO DE ÁGUA MINERAL DESTINADO AO COMBATE AO COVID-19. ,03.977.181/0001-07 - PLATINA MINERAL LTDA,"16.250,00",16250,Oct,2021,2021-10,SES,Alimentação para quentinhas e outros,Abaixo de 50 mil
2559,25.000.001088.2021,SECRETARIA DE ESTADO DA SAÚDE,4/10/2021,"AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (TESTOSTERONA, SAL UNDECILATO 250MG/ML) ",11.563.145/0001-17 - COMERCIAL MOSTAERT LTDA,"1.563,48",1563.48,Oct,2021,2021-10,SES,Compra de Medicamentos,Abaixo de 50 mil
2560,25.000.001226.2021,SECRETARIA DE ESTADO DA SAÚDE,4/10/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (TEMOZOLOMIDA 100MG),81.887.838/0011-12 - PROFARMA SPECIALTY S.A,"83.712,50",83712.5,Oct,2021,2021-10,SES,Compra de Medicamentos,Entre 50mil e 100mil
2561,25.000.001285.2021,SECRETARIA DE ESTADO DA SAÚDE,4/10/2021,"AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (LIRAGLUTIDA 6,0 MG/ML) ",04.307.650/0012-98 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,"6.078,96",6078.96,Oct,2021,2021-10,SES,Compra de Medicamentos,Abaixo de 50 mil
