Nº Processo,Órgão,Data de Abertura,Objeto,Razão Social,Total Adjudicado,Valor_transformado
25.215.000025.2022,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,11/3/2022,AQUISIÇÃO DE MATERIAL MÉDICO OPME COM EQUIPAMENTO EM COMODATO,00.304.559/0003-77 - HUNTER CIENTÍFICA COMERCIAL E SERVIÇOS LTDA -,"309.609,76",309609.76
25.237.000097.2022,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),11/3/2022,LOCACAO DE COMPUTADOR (180 DIAS),07.689.762/0001-96 - PASCOAL RICARDO DE MEDEIROS,"32.400,00",32400.00
25.000.000280.2022,SECRETARIA DE ESTADO DA SAÚDE,13/03/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"90.435,78",90435.78
25.000.000400.2022,SECRETARIA DE ESTADO DA SAÚDE,13/03/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"432.072,00",432072.00
15.000.000503.2022,POLÍCIA MILITAR DO ESTADO DA PARAÍBA,14/03/2022,"SERV. DE MAN. PREDIAL, IMP. DE SISTEMA DE MONITORAMENTO E CONTROLE DE ACESSO AO MUSEU DA PMPB",29.287.959/0001-31 - PSP PROTENSÃO E SERVIÇOS DE ENGENHARIA ESTRUTURAL LTDA,"68.877,71",68877.71
25.000.000937.2022,SECRETARIA DE ESTADO DA SAÚDE,14/03/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,02.513.899/0001-71 - GRIFOLS BRASIL LTDA,"64.440,00",64440.00
25.000.000966.2022,SECRETARIA DE ESTADO DA SAÚDE,14/03/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (TERIPARATIDA 250MCG/ML SOL. INJETÁVEL) ,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"5.920.889,40",5920889.40
25.000.003428.2022,SECRETARIA DE ESTADO DA SAÚDE,14/03/2022,MEDICAMENTO E MATERIAL MÉDICO,56.998.701/0033-01 - ABBOTT LABORATÓRIOS DO BRASIL LTDA,"6.823,80",6823.80
25.205.012292.2022,SES/COMPLEXO DE SAÚDE CLEMENTINO FRAGA,14/03/2022,CONTRATAÇÃO DE SERVIÇOS DE HEMODIALISE ,35.570.431/0001-78 - CLINEPA - CLINICA DE NEFROLOGIA DA PARAIBA LTDA,"462.960,00",462960.00
25.213.000109.2022,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,14/03/2022,CONTRATAÇÃO DE EMPRESA ESPEC. NA PRESTAÇÃO DE SERV. DE LOCAÇÃO DE EQUIPAMENTO ARCO CIRÚRGICO MÓVEL.,40.854.089/0001-78 - FERREIRA INTERMEDIAÇÃO E AGENCIAMENTO DE SERVIÇOS E NEGÓCIOS LTDA,"90.000,00",90000.00
15.000.000511.2022,POLÍCIA MILITAR DO ESTADO DA PARAÍBA,15/03/2022,SERVIÇO DE DEMOLIÇÃO E ISOLAMENTO DE EDIFICAÇÃO EM ÁREA DO TERRENO DO BPTRAN,31.332.593/0001-17 - IDSET SERVIÇOS E CONSTRUÇÕES EIRELI,"17.501,09",17501.09
25.000.000729.2022,SECRETARIA DE ESTADO DA SAÚDE,15/03/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (TOSILATO DE SORAFENIBE 200MG),18.459.628/0097-67 - BAYER S.A.,"449.172,00",449172.00
25.000.000962.2022,SECRETARIA DE ESTADO DA SAÚDE,16/03/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (INSULINA GLARGINA 100UI/ML INJETÁVEL REFIL FR. 03ML) ,04.752.991/0001-10 - BIOMM S/A,"2.880.000,00",2880000.00
25.215.000028.2022,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,16/03/2022,"SERVIÇO DE MANUTENÇÃO EM MÁQUINAS DE COSTURA INDUSTRIAIS COM REPOSIÇÃO DE PEÇAS, MENSAL",34.157.179/0001-07 - ABSOLUTA SERVIÇOS ASSESSORIA EMPRESARIAL E COMERCIO LTDA,"36.600,00",36600.00
25.215.000030.2022,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,16/03/2022,CONTRATAÇÃO DE EMPRESA PARA SERVIÇO DE MANUTENÇÃO EM ENCERADEIRAS,34.157.179/0001-07 - ABSOLUTA SERVIÇOS ASSESSORIA EMPRESARIAL E COMERCIO LTDA,"18.300,00",18300.00
25.216.000364.2022,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,16/03/2022,AQUISIÇÃO DE ENXOVAL CIRÚRGICO E TECIDOS HOSPITALARES / DISPENSA 180 DIAS,32.823.138/0001-87 - RENALLY KELLY DA SILVA,"764.777,25",764777.25
25.235.000026.2022,SES/UNIDADE DE PRONTO ATENDIMENTO CAJAZEIRAS - UPA,16/03/2022,AQUISIÇÃO DE MATERIAIS DE DOMISSANEANTES,27.543.994/0001-49 - EMANUELLA DE ASEVEDO ANDRADE,"101.107,33",101107.33
26.201.010217.2022,SEDS/DEPARTAMENTO ESTADUAL DE TRÂNSITO DO ESTADO DA PARAÍBA,16/03/2022,CONTRATAÇÃO EMERGENCIAL DE SERVIÇO DE LICENCIAMENTO DE SOFTWARE INTEGRADO GESTOR DE AUTO DE INFRAÇÃO,09.085.787/0001-06 - AVATY TECNOLOGIA LTDA - ME,"1.163.372,88",1163372.88
30.000.323369.2022,ENCARGOS GERAIS DO ESTADO,16/03/2022,LOCAÇÃO DE IMÓVEL 9º BATALHÃO DE POLICIA MILITAR  CUITÉ/PB,768.531.284-00 - ANA MARIA MACEDO FAUSTINO,"3.600,00",3600.00
38.000.000007.2022,POLICIA CIVIL DO ESTADO DA PARAIBA,16/03/2022,"AQUISIÇÃO DE CONDICIONADORES DE AR TIPO SPLIT HI WALL, CAPACIDADE DE 12.000 BTUS",36.521.392/0001-81 - GO VENDAS ELETRONICAS EIRELI,"52.457,40",52457.40
25.000.000169.2022,SECRETARIA DE ESTADO DA SAÚDE,17/03/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,"327.657,12",327657.12
25.000.000931.2022,SECRETARIA DE ESTADO DA SAÚDE,17/03/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (ABEMACICLIBE 150MG) ,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"84.211,20",84211.20
25.204.000055.2022,SES/COMPLEXO DE SAÚDE JULIANO MOREIRA,17/03/2022,AQUISIÇÃO DE MATERIAL DE HIGIENE PESSOAL,04.654.716/0001-63 - COMERCIAL MEDEIROS LTDA,"22.354,50",22354.50
25.207.000176.2022,SES/COMPLEXO DE SAÚDE DE GUARABIRA,17/03/2022,AQUISIÇÃO DE SOROS,01.571.702/0001-98 - HALEX ISTAR INDUSTRIA FARMACEUTICA S/A,"38.680,00",38680.00
25.215.000032.2022,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,17/03/2022,SERVIÇO DE LOCAÇÃO DE GRUPO GERADOR COM FORNECIMENTO DE COMBUSTÍVEL,00.394.204/0001-54 - AMS GERADORES E SERVIÇOS LTDA,"138.000,00",138000.00
30.000.015420.2022,ENCARGOS GERAIS DO ESTADO,17/03/2022,LOCAÇÃO DE IMÓVEL DELEGACIA DE POLÍCIA CIVIL EM MATARACA,023.857.224-29 - JOSILENE HENRIQUE DA SILVA PEDRO,"820,00",820.00
30.000.190302.2022,ENCARGOS GERAIS DO ESTADO,17/03/2022,LOCAÇÃO DE IMÓVEL CASA LAR EM SÃO JOÃO DO RIO DO PEIXE,570.520.694-15 - MARIA DAS GRAÇAS ROCHA FERNANDES,"2.000,00",2000.00
15.000.000504.2022,POLÍCIA MILITAR DO ESTADO DA PARAÍBA,18/03/2022,DEMOLIÇÃO DO RESERVATÓRIO SUPERIOR E CONSTRUÇÃO DE NOVO RESERVATÓRIO COM CISTERNA PARA O 6º BPM.,29.287.959/0001-31 - PSP PROTENSÃO E SERVIÇOS DE ENGENHARIA ESTRUTURAL LTDA,"52.513,87",52513.87
22.201.000130.2022,SEC/FUNDAÇÃO ESPAÇO CULTURAL DA PARAÍBA,18/03/2022,SERVIÇO DE TERCEIRO PESSOA JURÍDICA.,09.366.790/0001-06 - EMPRESA PARAIBANA DE COMUNICAÇAO S.A -EPC,"20.000,00",20000.00
25.000.000651.2022,SECRETARIA DE ESTADO DA SAÚDE,18/03/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,08.778.201/0001-26 - DROGAFONTE LTDA,"65.993,40",65993.40
38.000.000003.2022,POLICIA CIVIL DO ESTADO DA PARAIBA,18/03/2022,AQUISIÇÃO DE MACACÃO DE SEGURANÇA,06.913.480/0008-34 - DIMENSIONAL BRASIL SOLUCOES LTDA,"24.425,00",24425.00
22.204.004359.2022,SEE/UNIVERSIDADE ESTADUAL DA PARAÍBA,21/03/2022,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE IMPRESSÕES,40.938.508/0001-50 - MAQ-LAREM MAQUINAS MOV. E EQUIPAMENTOS LTDA,"50.000,00",50000.00
25.000.001249.2022,SECRETARIA DE ESTADO DA SAÚDE,21/03/2022,"AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (TIOTÓPIO BROMETO  2,5MCGDOSE SOL. PARA INALAÇÃO)",04.307.650/0012-98 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,"3.584.040,00",3584040.00
25.203.000176.2022,SES/COMPLEXO DE SAÚDE DE CRUZ DAS ARMAS,21/03/2022,EMERGENCIAL MATERIAL DE CONSTRUÇÃO,33.932.061/0001-46 - LEÃO COMÉRCIO DE MULTI UTILIDADES LTDA,"115.630,32",115630.32
25.237.000110.2022,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),21/03/2022,SOLICITACAO DE AQUISICAO DE GASES MEDICINAIS (180 DIAS),05.329.135/0003-80 - ALEXSANDRO SANTOS DA SILVA - EPP,"232.465,00",232465.00
25.238.000028.2022,SES/HOSPITAL GERAL DE MAMANGUAPE,21/03/2022,CONTRATO - ESTERILIZAÇÃO Á BAIXA TEMPERATURA,10.287.853/0001-00 - EMBRAESTER - EMPRESA BRASILEIRA DE ESTERILIZACOES LTDA EPP,"4.582,50",4582.50
25.242.000020.2022,SES/UNIDADE DE PRONTO ATENDIMENTO GUARABIRA - UPA,21/03/2022,AQUISIÇÃO DE MATERIAL MÉDICO E HOSPITALAR,03.246.587/0001-01 - SUFRAMED COMERCIO DE MATERIAL MEDICO HOSPITALAR LTDA,"50.150,18",50150.18
25.000.004263.2022,SECRETARIA DE ESTADO DA SAÚDE,22/03/2022,AQUISIÇÃO EMERGENCIAL DE VENTILADOR MECÂNICO E DE CONCENTRADOR DE OXIGÊNIO ELÉTRICO,04.238.951/0001-54 - LOCMED HOSPITALAR LTDA,"61.450,00",61450.00
38.000.000040.2022,POLICIA CIVIL DO ESTADO DA PARAIBA,22/03/2022,AQUISIÇÃO DE MATERIAL GRÁFICO PERSONALIZADO,02.657.445/0001-74 - CLAUDINES PEREIRA,"16.040,00",16040.00
25.216.000393.2022,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,23/03/2022,SERVIÇO ESPECIALIZADO EM EXAMES DE IMAGENS,23.871.427/0001-60 - GAMA SERVIÇOS DE DIAGNOSTICO POR IMAGEM,"1.128.950,00",1128950.00
25.203.000092.2022,SES/COMPLEXO DE SAÚDE DE CRUZ DAS ARMAS,24/03/2022,EMERGENCIAL DE ÁGUA MINERAL SEM GÁS 20LITROS,07.227.808/0001-55 - B.J. COMERCIO DE ALIMENTOS LTDA,"99.200,00",99200.00
25.240.000050.2022,SES/HOSPITAL DE CLINICAS DE CAMPINA GRANDE,24/03/2022,AQUISIÇÃO DE MATERIAIS DE HIGIENIZAÇÃO.,04.222.335/0001-05 - EDILENE IMPERIANO DOS SANTOS SOUZA,"245.419,60",245419.60
25.240.000051.2022,SES/HOSPITAL DE CLINICAS DE CAMPINA GRANDE,24/03/2022,AQUISIÇÃO DE TECIDO EM BRIM PARA LAP CIRÚRGICO,15.344.568/0001-05 - NOVAMED COMÉRCIO EIRELLI,"47.900,00",47900.00
25.240.000052.2022,SES/HOSPITAL DE CLINICAS DE CAMPINA GRANDE,24/03/2022,FORNECIMENTO DE REFEIÇÕES TIPO QUENTINHAS.,15.081.369/0001-43 - IS RISTO GASTRONOMIA LTDA,"2.588.562,00",2588562.00
25.240.000058.2022,SES/HOSPITAL DE CLINICAS DE CAMPINA GRANDE,24/03/2022,CONTRATAÇÃO DE FORNECIMENTO EM SERVIÇO DE LINK DE INTERNET,04.601.397/0001-28 - BRISANET SERVICOS DE TELECOMUNICACOES S.A.,"11.994,00",11994.00
25.000.001083.2022,SECRETARIA DE ESTADO DA SAÚDE,25/03/2022,"EMP ESPEC EM SERV DE COLETA EXTERNA,TRANSP EXT, TRAT E DEST FINAL DE RESÍDUOS DE SERV DE SAÚDE",07.575.881/0001-18 - SIM ENGENHARIA AMBIENTAL EIRELI,"25.079.922,00",25079922.00
25.203.000237.2022,SES/COMPLEXO DE SAÚDE DE CRUZ DAS ARMAS,25/03/2022,EMERGENCIAL DE MEDICAMENTOS ANESTÉSICOS,08.778.201/0001-26 - DROGAFONTE LTDA,"292.050,00",292050.00
25.205.012296.2022,SES/COMPLEXO DE SAÚDE CLEMENTINO FRAGA,25/03/2022,AQUISIÇÃO DE MATERIAL DE EXPEDIENTE,34.387.726/0001-40 - SMART COMERCIO E SERVICOS EIRELI,"78.405,41",78405.41
31.205.002253.2022,SECTMA/SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MEIO AMBIENTE,25/03/2022,AQUISIÇÃO DE SCANNERS DE MESA,43.905.981/0001-29 - GBN TECH SUPPLY COMERCIO VAREJISTA DE PRODUTOS LTDA,"31.930,00",31930.00
25.204.000060.2022,SES/COMPLEXO DE SAÚDE JULIANO MOREIRA,28/03/2022,AQUISIÇÃO DE GÁS,11.893.112/0001-35 - SOS GAS DISTRIBUIDORA LTDA,"41.130,00",41130.00
25.250.000202.2022,INSTITUTO DE ASSISTÊNCIA À SAÚDE DO SERVIDOR,28/03/2022,CONTRATAÇÃO DE UMA FIRMA PARA MANUTENÇÃO CORRETIVA E PREVENTIVA EM EQUIPAMENTO MÉDICO HOSPITALAR,12.929.519/0001-38 - SERVPROL SERV.E COMERCIO DE PROD.MEDICOS LTDA ME,"43.200,00",43200.00
30.000.323385.2022,ENCARGOS GERAIS DO ESTADO,28/03/2022,20032338,009.487.724-68 - ANTONIO GOMES DE SOUTO,"4.000,00",4000.00
33.000.000062.2022,SECRETARIA DE ESTADO DA CULTURA,28/03/2022,PUBLICAÇÃO NO DIÁRIO OFICIAL DO ESTADO - EMPRESA PARAIBANA DE COMUNICAÇÃO - EPC,09.366.790/0001-06 - EMPRESA PARAIBANA DE COMUNICAÇAO S.A -EPC,"120.912,00",120912.00
15.000.000021.2022,POLÍCIA MILITAR DO ESTADO DA PARAÍBA,29/03/2022,SERVIÇOS GRÁFICOS DE EDITORAÇÃO E IMPRESSÃO DE MATERIAL COMEMORATIVO ALUSIVO AOS 190 ANOS DA PMPB,09.366.790/0001-06 - EMPRESA PARAIBANA DE COMUNICAÇAO S.A -EPC,"19.800,00",19800.00
25.000.000963.2022,SECRETARIA DE ESTADO DA SAÚDE,29/03/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,04.307.650/0012-98 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,"164.790,36",164790.36
25.203.000209.2022,SES/COMPLEXO DE SAÚDE DE CRUZ DAS ARMAS,29/03/2022,AQUISIÇÃO EMERGENCIAL DE GÊNEROS ALIMENTÍCIOS,30.911.924/0001-00 - TEM DE TUDO COMÉRCIO E SERVIÇOS LTDA,"544.833,45",544833.45
25.240.000059.2022,SES/HOSPITAL DE CLINICAS DE CAMPINA GRANDE,29/03/2022,AQUISIÇÃO DE NUTRIÇÃO PARENTERAL,02.977.362/0001-62 - A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA,"69.980,00",69980.00
25.242.000024.2022,SES/UNIDADE DE PRONTO ATENDIMENTO GUARABIRA - UPA,29/03/2022,AQUISIÇÃO DE MATERIAL  E ESTERILIZAÇÃO ( CME) ,03.246.587/0001-01 - SUFRAMED COMERCIO DE MATERIAL MEDICO HOSPITALAR LTDA,"48.822,50",48822.50
37.000.000116.2022,"SECRETARIA DE ESTADO DO PLANEJAMENTO, ORÇAMENTO E GESTÃO",29/03/2022,SERVIÇO DE FORNECIMENTO DE ALIMENTAÇÃO PARA EVENTOS SEODE\SEPLAG,41.963.209/0001-38 - SARAH ANDRADE OLIVEIRA,"27.185,00",27185.00
38.000.000012.2022,POLICIA CIVIL DO ESTADO DA PARAIBA,29/03/2022,CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO DE REFEIÇÃO ,09.384.762/0001-03 - BAR E RESTAURANTE O PANELÃO LTDA,"83.520,00",83520.00
25.216.000403.2022,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,30/03/2022,SERVIÇO DE MANUTENÇÃO PREVENTIVA E CORRETIVA COM FORNECIMENTO DE PEÇAS EM EQUIPAMENTOS BAUMER,12.929.519/0001-38 - SERVPROL SERV.E COMERCIO DE PROD.MEDICOS LTDA ME,"233.340,00",233340.00
25.216.000404.2022,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,30/03/2022,AQUISIÇÃO DE MATERIAL DE LAVANDERIA,38.308.355/0001-15 - M&M COMERCIO VAREJISTA DE SANEANTES EIRELI,"234.657,00",234657.00
30.000.032341.2022,ENCARGOS GERAIS DO ESTADO,30/03/2022,LOCAÇÃO DE IMÓVEL ARQUIVO E CENTRAL DE ABASTECIMENTO FARM. DO COMPLEXO PEDIÁTRICO ARLINDA MARQUES,049.830.088-96 - ELISETEAPARECIDA FERREIRA GOMES,"10.300,00",10300.00
25.000.000587.2022,SECRETARIA DE ESTADO DA SAÚDE,31/03/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,60.318.797/0001-00 - ASTRAZENECA DO BRASIL LTDA,"127.787,52",127787.52
25.000.000728.2022,SECRETARIA DE ESTADO DA SAÚDE,31/03/2022,AQUISIÇÃO EMERGENCIAL DE KITS PARA CONTROLE DA GLICEMIA ,05.329.222/0001-76 - SELLENE COMERCIO E REPRESENTACOES LTDA,"66.167,20",66167.20
25.000.001216.2022,SECRETARIA DE ESTADO DA SAÚDE,31/03/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,56.998.982/0031-22 - BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,"305.840,76",305840.76
25.000.002081.2022,SECRETARIA DE ESTADO DA SAÚDE,31/03/2022,AQUISIÇÃO EMERGENCIAL DE PRÓTESE CUSTOMIZADA DE ATM,15.457.628/0001-98 - JMC MEDICAL - PRODUTOS MÉDICOS HOSPITALARES EIRELI - ME,"195.000,00",195000.00
25.215.000034.2022,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,31/03/2022,SERVIÇO DE MANUTENÇÃO PREV E COR EM GRUPOS GERADORES COM REP DE PEÇAS E COMB,34.157.179/0001-07 - ABSOLUTA SERVIÇOS ASSESSORIA EMPRESARIAL E COMERCIO LTDA,"41.760,00",41760.00
30.000.137851.2022,ENCARGOS GERAIS DO ESTADO,31/03/2022,LOCAÇÃO DE IMÓVEL CASA LAR SÃO BENTO,313.273.704-68 - NAIRA GLÓRIA SOARES,"600,00",600.00
30.000.190345.2022,ENCARGOS GERAIS DO ESTADO,31/03/2022,LOCAÇÃO DE IMÓVEL ANEXO ADMINISTRATIVO DO COMPLEXO PEDIÁTRICO ARLINDA MARQUES,690.050.284-91 - CLÁUDIO D’AVILA LINS FILHO,"4.650,00",4650.00
25.000.000151.2022,SECRETARIA DE ESTADO DA SAÚDE,1/4/2022,AQUISIÇÃO EMERGENCIAL DE BERÇOS HOSPITALARES ,04.910.323/0001-73 - MÓVEIS ANDRADE -INDÚSTRIA E COM. DE MÓVEIS HOSPITALARES LTDA.,"259.380,00",259380.00
25.215.000035.2022,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,1/4/2022,SERVIÇO DE MANUTENÇÃO PREVENTIVA E CORRETIVA EM CONDICIONADORES DE AR COM REPOSIÇÃO DE PEÇAS,07.400.977/0001-45 - PLANTEK SERVICOS LTDA,"210.000,00",210000.00
25.215.000036.2022,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,1/4/2022,SERVIÇO DE MANUTENÇÃO PREVENTIVA E CORRETIVA EM ELEVADORES COM REPOSIÇÃO DE PEÇAS,07.485.559/0001-06 - ENGELTECH ELEVADORES LTDA - EPP,"17.280,00",17280.00
25.215.000037.2022,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,1/4/2022,SERVIÇO DE EXAMES ANATOMOPATOLÓGICOS,09.143.967/0001-05 - INSTITUTO DE PATOLOGIA E CITOLOGIA DR ELY CHAVES LTDA,"14.950,00",14950.00
26.201.021688.2022,SEDS/DEPARTAMENTO ESTADUAL DE TRÂNSITO DO ESTADO DA PARAÍBA,1/4/2022,CONTRATAÇÃO EMERGENCIAL DE SERVIÇO OUTSOURCING DE IMPRESSÃO,40.938.508/0001-50 - MAQ-LAREM MAQUINAS MOV. E EQUIPAMENTOS LTDA,"485.820,00",485820.00
30.000.169630.2022,ENCARGOS GERAIS DO ESTADO,1/4/2022,LOCAÇÃO DE IMÓVEL CENTRO DE ASSISTÊNCIA PSICOSSOCIAL DOS POL. MILITARES CAMPINA GRANDE,607.674.994-68 - VICENTE ROCHA JUNIOR,"4.400,00",4400.00
38.000.000063.2022,POLICIA CIVIL DO ESTADO DA PARAIBA,1/4/2022,AQUISIÇÃO DE TESTES DE IMUNOENSAIO,23.039.218/0001-55 - VISION MÉDICA EIRELE-ME,"619.706,75",619706.75
21.901.000006.2022,SETDE/FUNDO ESTADUAL DE APOIO AO EMPREENDEDORISMO - EMPREENDER-PB,4/4/2022,"SERVIÇOS DE MANUTENÇÃO, INSTALAÇÃO E DESINSTALAÇÃO DE AR CONDICIONADO",03.313.938/0001-50 - RECOL - ENGENHARIA & SERVICOS LTDA - ME,"17.450,00",17450.00
25.000.000586.2022,SECRETARIA DE ESTADO DA SAÚDE,4/4/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (PANITUMUMABE40020MGML),10.586.940/0001-68 - ONCOVIT DISTRIBUIDORA DE MEDICAMENTOS LTDA,"64.837,44",64837.44
25.000.000938.2022,SECRETARIA DE ESTADO DA SAÚDE,4/4/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,04.307.650/0012-98 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,"296.276,40",296276.40
25.000.000941.2022,SECRETARIA DE ESTADO DA SAÚDE,4/4/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (PIRFENIDONA 267MG) ,08.958.628/0002-97 - ONCOEXO DISTRIBUIDORA DE MEDICAMENTOS LTDA,"144.876,60",144876.60
25.000.000961.2022,SECRETARIA DE ESTADO DA SAÚDE,4/4/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,04.307.650/0025-02 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,"1.609.400,00",1609400.00
25.213.000182.2022,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,4/4/2022,AQUISIÇÃO DE SUPLEMENTOS ALIMENTARES E DIETAS ENTERAIS,35.397.052/0001-28 - CRALAB SAUDE E ODONTO LTDA,"228.331,38",228331.38
25.237.000120.2022,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),4/4/2022,AQUISICAO DE MATERIAL GRAFICO 180 DIAS,24.726.321/0001-36 - JOSE IVAN DOS SANTOS JUNIOR EIRELI,"101.650,00",101650.00
26.201.030166.2022,SEDS/DEPARTAMENTO ESTADUAL DE TRÂNSITO DO ESTADO DA PARAÍBA,4/4/2022,CONTRATAÇÃO EMERGENCIAL SERVIÇO  DE RECUPERAÇÃO DE COBERTA,"07.534.377/0001-70 - HANG EMPREENDIMENTOS, CONTRUÇÕES E INCORPORAÇÕES LTDA","72.276,01",72276.01
28.000.000115.2022,PROJETO COOPERAR,4/4/2022,CONFECÇÃO DE MATERIAL GRÁFICO,09.366.790/0001-06 - EMPRESA PARAIBANA DE COMUNICAÇAO S.A -EPC,"50.000,00",50000.00
29.000.000014.2022,SECRETARIA DE ESTADO DA COMUNICAÇÃO INSTITUCIONAL,4/4/2022,AQUISIÇÃO DE MATERIAL DE CONSUMO,04.654.716/0001-63 - COMERCIAL MEDEIROS LTDA,"22.511,50",22511.50
15.201.000325.2022,INSTITUTO HOSPITALAR GENERAL EDSON RAMALHO,5/4/2022,CONTRATAÇÃO DE  PLATAFORMA DIGITAL PARA GESTÃO DOCUMENTAL DO ESTADO DA PARAÍBA - PBDOC,09.189.499/0001-00 - COMPANHIA DE PROC.DE DADOS DA PARAIBA - CODATA,"40.992,00",40992.00
29.000.000015.2022,SECRETARIA DE ESTADO DA COMUNICAÇÃO INSTITUCIONAL,5/4/2022,AQUISIÇÃO DE MATERIAL DE EXPEDIENTE DIVERSIFICADO,24.116.337/0001-27 - PAPELARIA E LIVRARIA PEDRO II LTDA - EPP,"35.077,90",35077.90
29.000.000016.2022,SECRETARIA DE ESTADO DA COMUNICAÇÃO INSTITUCIONAL,5/4/2022,MATERIAL PERMANENTE,36.441.702/0001-58 - EUCLIMAECIL ALMEIDA DE FREITAS 03183138476,"17.400,00",17400.00
30.000.126135.2022,ENCARGOS GERAIS DO ESTADO,5/4/2022,LOCAÇÃO DE IMÓVEL DELEGACIA DE POLÍCIA CIVIL EM MULUNGU,107.931.664-70 - GUTIERRE GOMES REGIS,"950,00",950.00
25.216.000441.2022,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,6/4/2022,SERVIÇO DE MANUTENÇÃO EM MACAS COM FORNECIMENTO DE PEÇAS,10.464.359/0001-73 - ROBERTO DIOGO FERREIRA DA COSTA EIRELI,"76.800,00",76800.00
25.240.000070.2022,SES/HOSPITAL DE CLINICAS DE CAMPINA GRANDE,6/4/2022,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE TOMOGRAFIA DESTINADO AO COMBATE AO COVID-19. ,23.871.427/0001-60 - GAMA SERVIÇOS DE DIAGNÓSTICOS POR IMAGENS EIRELI,"248.100,00",248100.00
25.240.000071.2022,SES/HOSPITAL DE CLINICAS DE CAMPINA GRANDE,6/4/2022,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE RESSONÂNCIA , ANGIORESSONÂNCIA, EEG E ENMG. ",08.716.557/0001-35 - CLINICA RADIOLOGICA DR. WANDERLEY LTDA,"142.220,00",142220.00
30.000.019042.2022,ENCARGOS GERAIS DO ESTADO,6/4/2022,LOCAÇÃO DE IMÓVEL ESTACIONAMENTO DA SEDH EM JOÃO PESSOA,161.435.314-04 - ANTONIO GUILHERME ZACCARA DE ARAÚJO,"3.240,00",3240.00
30.000.190329.2022,ENCARGOS GERAIS DO ESTADO,6/4/2022,LOCAÇÃO DE IMÓVEL SEDE DA CHEFIA DE GOVERNO,036.002.404-12 - RODRIGO AQUINO MAIA DE CASTRO,"25.778,18",25778.18
